Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PurchasedItems,Chrome 127.0.0.0,,,21-08-2024 23:42:07,21-08-2024 23:43:32,1m - 25.231s,PASSED
,,,,,,,
Test Cases/PurchaseItems,Chrome 127.0.0.0,,,21-08-2024 23:42:08,21-08-2024 23:43:12,1m - 3.988s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 23:42:09,21-08-2024 23:42:17,7.499s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 23:42:17,21-08-2024 23:42:19,2.530s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Samsung galaxy s6""))",Chrome 127.0.0.0,,,21-08-2024 23:42:19,21-08-2024 23:42:25,5.296s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:42:25,21-08-2024 23:42:28,3.352s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:42:28,21-08-2024 23:42:35,7.340s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 23:42:35,21-08-2024 23:42:40,4.498s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:42:40,21-08-2024 23:42:42,2.005s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:42:42,21-08-2024 23:42:49,7.243s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 23:42:49,21-08-2024 23:42:50,1.469s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 23:42:50,21-08-2024 23:42:53,2.343s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:42:53,21-08-2024 23:42:56,3.387s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 23:42:56,21-08-2024 23:42:59,2.650s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Place Order""))",Chrome 127.0.0.0,,,21-08-2024 23:42:59,21-08-2024 23:43:03,4.311s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Name_name""), ""sneha"")",Chrome 127.0.0.0,,,21-08-2024 23:43:03,21-08-2024 23:43:04,1.179s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Country_country""), ""india"")",Chrome 127.0.0.0,,,21-08-2024 23:43:04,21-08-2024 23:43:05,0.714s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_City_city""), ""Trivian"")",Chrome 127.0.0.0,,,21-08-2024 23:43:05,21-08-2024 23:43:06,0.871s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Credit card_card""), ""123456789"")",Chrome 127.0.0.0,,,21-08-2024 23:43:06,21-08-2024 23:43:07,0.623s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Month_month""), ""June"")",Chrome 127.0.0.0,,,21-08-2024 23:43:07,21-08-2024 23:43:07,0.623s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Year_year""), ""2024"")",Chrome 127.0.0.0,,,21-08-2024 23:43:07,21-08-2024 23:43:08,0.624s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Purchase""))",Chrome 127.0.0.0,,,21-08-2024 23:43:08,21-08-2024 23:43:08,0.325s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_OK""))",Chrome 127.0.0.0,,,21-08-2024 23:43:08,21-08-2024 23:43:11,3.042s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 23:43:11,21-08-2024 23:43:12,0.396s,PASSED
,,,,,,,
Test Cases/PurchaseItemsWithoutFillTheForm,Chrome 127.0.0.0,,,21-08-2024 23:43:12,21-08-2024 23:43:32,20.284s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 23:43:12,21-08-2024 23:43:13,0.842s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 23:43:13,21-08-2024 23:43:13,0.735s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 23:43:13,21-08-2024 23:43:17,3.295s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:43:17,21-08-2024 23:43:18,1.331s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:43:18,21-08-2024 23:43:19,1.229s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 23:43:19,21-08-2024 23:43:20,1.330s,PASSED
