Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PriceofProduct,Chrome 127.0.0.0,,,21-08-2024 23:02:35,21-08-2024 23:02:55,20.352s,FAILED
,,,,,,,
Test Cases/PriceOfProducts,Chrome 127.0.0.0,,,21-08-2024 23:02:35,21-08-2024 23:02:55,20.188s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 23:02:35,21-08-2024 23:02:37,1.791s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 23:02:37,21-08-2024 23:02:38,1.036s,PASSED
"orgnlPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_700""))",Chrome 127.0.0.0,,,21-08-2024 23:02:38,21-08-2024 23:02:41,2.853s,PASSED
"orgnlPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_790""))",Chrome 127.0.0.0,,,21-08-2024 23:02:41,21-08-2024 23:02:41,0.311s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 23:02:41,21-08-2024 23:02:42,1.035s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:02:42,21-08-2024 23:02:44,1.425s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:02:44,21-08-2024 23:02:45,1.331s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 23:02:45,21-08-2024 23:02:46,0.915s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:02:46,21-08-2024 23:02:47,0.847s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:02:47,21-08-2024 23:02:47,0.489s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 23:02:47,21-08-2024 23:02:48,0.903s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 23:02:48,21-08-2024 23:02:50,1.931s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:02:50,21-08-2024 23:02:51,1.185s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 23:02:51,21-08-2024 23:02:53,1.642s,PASSED
"dsplyPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_700""))",Chrome 127.0.0.0,,,21-08-2024 23:02:53,21-08-2024 23:02:55,1.861s,PASSED
"dsplyPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_790""))",Chrome 127.0.0.0,,,21-08-2024 23:02:55,21-08-2024 23:02:55,0.274s,PASSED
"orgnlPrice1 = orgnlPrice1.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 23:02:55,21-08-2024 23:02:55,0.014s,PASSED
assert orgnlPrice1 == dsplyPrice1,Chrome 127.0.0.0,,,21-08-2024 23:02:55,21-08-2024 23:02:55,0.014s,FAILED
