Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PurchasedItems,Chrome 127.0.0.0,,,21-08-2024 22:55:00,21-08-2024 22:57:18,2m - 17.779s,PASSED
,,,,,,,
Test Cases/PurchaseItems,Chrome 127.0.0.0,,,21-08-2024 22:55:02,21-08-2024 22:56:14,1m - 11.936s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:55:04,21-08-2024 22:55:18,13.560s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:55:18,21-08-2024 22:55:24,6.259s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Samsung galaxy s6""))",Chrome 127.0.0.0,,,21-08-2024 22:55:24,21-08-2024 22:55:30,5.570s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:30,21-08-2024 22:55:34,4.095s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:34,21-08-2024 22:55:38,4.363s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:55:38,21-08-2024 22:55:42,3.809s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:42,21-08-2024 22:55:43,1.081s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:43,21-08-2024 22:55:45,1.992s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 22:55:45,21-08-2024 22:55:46,1.195s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 22:55:46,21-08-2024 22:55:50,3.955s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:50,21-08-2024 22:55:53,3.047s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:53,21-08-2024 22:55:57,3.335s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Place Order""))",Chrome 127.0.0.0,,,21-08-2024 22:55:57,21-08-2024 22:55:59,2.099s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Name_name""), ""sneha"")",Chrome 127.0.0.0,,,21-08-2024 22:55:59,21-08-2024 22:56:01,2.696s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Country_country""), ""india"")",Chrome 127.0.0.0,,,21-08-2024 22:56:01,21-08-2024 22:56:03,1.649s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_City_city""), ""Trivian"")",Chrome 127.0.0.0,,,21-08-2024 22:56:03,21-08-2024 22:56:04,1.088s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Credit card_card""), ""123456789"")",Chrome 127.0.0.0,,,21-08-2024 22:56:04,21-08-2024 22:56:06,1.662s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Month_month""), ""June"")",Chrome 127.0.0.0,,,21-08-2024 22:56:06,21-08-2024 22:56:08,1.836s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Year_year""), ""2024"")",Chrome 127.0.0.0,,,21-08-2024 22:56:08,21-08-2024 22:56:09,1.017s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Purchase""))",Chrome 127.0.0.0,,,21-08-2024 22:56:09,21-08-2024 22:56:09,0.798s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_OK""))",Chrome 127.0.0.0,,,21-08-2024 22:56:09,21-08-2024 22:56:13,3.959s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 22:56:13,21-08-2024 22:56:14,0.428s,PASSED
,,,,,,,
Test Cases/PurchaseItemsWithoutFillTheForm,Chrome 127.0.0.0,,,21-08-2024 22:56:14,21-08-2024 22:57:18,1m - 4.192s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:56:14,21-08-2024 22:56:15,1.214s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:56:15,21-08-2024 22:56:57,41.606s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 22:56:57,21-08-2024 22:57:02,4.668s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:57:02,21-08-2024 22:57:03,1.301s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:57:03,21-08-2024 22:57:05,2.005s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:57:05,21-08-2024 22:57:07,1.666s,PASSED
"click(findTestObject(""Object Repository/PurchaseWithoutFillTheForm/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:57:07,21-08-2024 22:57:08,1.781s,PASSED
