Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PurchasedItems,Chrome 127.0.0.0,,,21-08-2024 22:54:13,21-08-2024 22:56:45,2m - 31.305s,PASSED
,,,,,,,
Test Cases/PurchaseItems,Chrome 127.0.0.0,,,21-08-2024 22:54:15,21-08-2024 22:55:30,1m - 15.595s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:54:18,21-08-2024 22:54:31,13.327s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:54:31,21-08-2024 22:54:34,3.004s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Samsung galaxy s6""))",Chrome 127.0.0.0,,,21-08-2024 22:54:34,21-08-2024 22:54:41,7.135s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:54:41,21-08-2024 22:54:43,2.026s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:54:43,21-08-2024 22:54:45,2.284s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:54:45,21-08-2024 22:54:50,4.622s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:54:50,21-08-2024 22:54:52,1.861s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:54:52,21-08-2024 22:54:55,2.639s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 22:54:55,21-08-2024 22:54:56,1.313s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 22:54:56,21-08-2024 22:54:59,2.971s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:54:59,21-08-2024 22:55:02,3.235s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:02,21-08-2024 22:55:07,4.627s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Place Order""))",Chrome 127.0.0.0,,,21-08-2024 22:55:07,21-08-2024 22:55:09,2.445s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Name_name""), ""sneha"")",Chrome 127.0.0.0,,,21-08-2024 22:55:09,21-08-2024 22:55:11,2.275s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Country_country""), ""india"")",Chrome 127.0.0.0,,,21-08-2024 22:55:11,21-08-2024 22:55:14,2.349s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_City_city""), ""Trivian"")",Chrome 127.0.0.0,,,21-08-2024 22:55:14,21-08-2024 22:55:15,1.398s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Credit card_card""), ""123456789"")",Chrome 127.0.0.0,,,21-08-2024 22:55:15,21-08-2024 22:55:16,1.279s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Month_month""), ""June"")",Chrome 127.0.0.0,,,21-08-2024 22:55:16,21-08-2024 22:55:18,1.734s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Year_year""), ""2024"")",Chrome 127.0.0.0,,,21-08-2024 22:55:18,21-08-2024 22:55:20,1.680s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Purchase""))",Chrome 127.0.0.0,,,21-08-2024 22:55:20,21-08-2024 22:55:21,1.316s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_OK""))",Chrome 127.0.0.0,,,21-08-2024 22:55:21,21-08-2024 22:55:25,4.216s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 22:55:25,21-08-2024 22:55:30,4.776s,PASSED
,,,,,,,
