Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PriceofProduct,Chrome 127.0.0.0,,,21-08-2024 22:55:02,21-08-2024 22:56:36,1m - 33.926s,FAILED
,,,,,,,
Test Cases/PriceOfProducts,Chrome 127.0.0.0,,,21-08-2024 22:55:04,21-08-2024 22:56:36,1m - 32.011s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:55:08,21-08-2024 22:55:21,12.931s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:55:21,21-08-2024 22:55:26,4.853s,PASSED
"orgnlPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_700""))",Chrome 127.0.0.0,,,21-08-2024 22:55:26,21-08-2024 22:55:35,8.943s,PASSED
"orgnlPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_790""))",Chrome 127.0.0.0,,,21-08-2024 22:55:35,21-08-2024 22:55:35,0.408s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 22:55:35,21-08-2024 22:55:39,4.287s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:39,21-08-2024 22:55:42,2.966s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:42,21-08-2024 22:55:45,3.108s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:55:45,21-08-2024 22:55:50,4.819s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:50,21-08-2024 22:55:53,2.359s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:53,21-08-2024 22:55:57,4.708s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 22:55:57,21-08-2024 22:55:59,1.479s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 22:55:59,21-08-2024 22:56:04,4.758s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:56:04,21-08-2024 22:56:06,2.689s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 22:56:06,21-08-2024 22:56:10,3.713s,PASSED
"dsplyPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_700""))",Chrome 127.0.0.0,,,21-08-2024 22:56:10,21-08-2024 22:56:36,25.710s,PASSED
"dsplyPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_790""))",Chrome 127.0.0.0,,,21-08-2024 22:56:36,21-08-2024 22:56:36,0.285s,PASSED
"orgnlPrice1 = orgnlPrice1.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 22:56:36,21-08-2024 22:56:36,0.006s,PASSED
assert orgnlPrice1 == dsplyPrice1,Chrome 127.0.0.0,,,21-08-2024 22:56:36,21-08-2024 22:56:36,0.005s,PASSED
"orgnlPrice2 = orgnlPrice2.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 22:56:36,21-08-2024 22:56:36,0.003s,PASSED
assert orgnlPrice2 == dsplyPrice2,Chrome 127.0.0.0,,,21-08-2024 22:56:36,21-08-2024 22:56:36,0.025s,FAILED
