Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PriceofProduct,Chrome 127.0.0.0,,,21-08-2024 23:23:02,21-08-2024 23:23:23,20.272s,FAILED
,,,,,,,
Test Cases/PriceOfProducts,Chrome 127.0.0.0,,,21-08-2024 23:23:03,21-08-2024 23:23:23,20.068s,FAILED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 23:23:03,21-08-2024 23:23:05,1.798s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 23:23:05,21-08-2024 23:23:06,1.588s,PASSED
"orgnlPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_700""))",Chrome 127.0.0.0,,,21-08-2024 23:23:06,21-08-2024 23:23:09,2.449s,PASSED
"orgnlPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_790""))",Chrome 127.0.0.0,,,21-08-2024 23:23:09,21-08-2024 23:23:09,0.305s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 23:23:09,21-08-2024 23:23:10,1.022s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:23:10,21-08-2024 23:23:11,1.110s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:23:11,21-08-2024 23:23:12,0.876s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 23:23:12,21-08-2024 23:23:13,1.242s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:23:13,21-08-2024 23:23:14,0.863s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 23:23:14,21-08-2024 23:23:15,0.733s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 23:23:15,21-08-2024 23:23:16,0.902s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 23:23:16,21-08-2024 23:23:17,1.693s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 23:23:17,21-08-2024 23:23:19,1.590s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 23:23:19,21-08-2024 23:23:21,1.578s,PASSED
"dsplyPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_700""))",Chrome 127.0.0.0,,,21-08-2024 23:23:21,21-08-2024 23:23:22,1.669s,PASSED
"dsplyPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_790""))",Chrome 127.0.0.0,,,21-08-2024 23:23:22,21-08-2024 23:23:23,0.261s,PASSED
"orgnlPrice1 = orgnlPrice1.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 23:23:23,21-08-2024 23:23:23,0.005s,PASSED
assert orgnlPrice1 == dsplyPrice1,Chrome 127.0.0.0,,,21-08-2024 23:23:23,21-08-2024 23:23:23,0.003s,PASSED
"orgnlPrice2 = orgnlPrice2.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 23:23:23,21-08-2024 23:23:23,0.002s,PASSED
assert orgnlPrice2 == dsplyPrice2,Chrome 127.0.0.0,,,21-08-2024 23:23:23,21-08-2024 23:23:23,0.024s,FAILED
